id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,CLOUD COMPUTING: METHODS AND PRACTICAL APPROACHES,Zaigham Mahmood ,CSE,2020,,9781447174868,SPRINGER,1,,Rs. 2495,https://www.springer.com/in/book/9783319105291,
,"Cmos Data Converters, Phase-Locked Loops, And Their Applications","Ndjountche, Tertulien",CSE,2019,,9781138599734,Crc Press,1,BP 140,,https://www.routledge.com/Data-Converters-Phase-Locked-Loops-and-Their-Applications/Ndjountche/p/book/9781138599734,
,COLLABORATIVE CYBER THREAT INTELLIGENCE : DETECTING AND RESPONDING TO ADVANCED CYBER ATTACKS AT THE NATIONAL LEVEL,Florian Skopik,CSE,2018,,9781138031821,T&F/CRC PRESS,1,BP 120,,https://www.routledge.com/Collaborative-Cyber-Threat-Intelligence-Detecting-and-Responding-to-Advanced/Skopik/p/book/9781138031821,
,Complex Survey Data Analysis With Sas,Lewis Taylor H.,CSE,2018,,9781138582538,Crc Press,1,,Rs. 2395,https://www.routledge.com/Complex-Survey-Data-Analysis-with-SAS/Lewis/p/book/9781498776776,
,COMPUTATIONAL STATISTICS: AN INTRODUCTION TO R,SAWITZKI GÜNTHER,CSE,2019,,9780367241988,CRC PRESS,1,,Rs. 2495,https://www.routledge.com/Computational-Statistics-An-Introduction-to-R/Sawitzki/p/book/9781420086782,
,COMPUTER - ASSISTED REPORTING : A PRACTICAL GUIDE,BRANT HOUSTON,CSE,2019,4TH,9780367240318,T&F INDIA,1,,Rs. 1295,https://www.routledge.com/Computer-assisted-Reporting/Garrison/p/book/9780805830217,
,COMPUTER AIDED POWER SYSTEMS ANALYSIS (WITH CD),KUSIC GEORGE,CSE,2018,2ND,9781138571037,CRC PRESS,1,,Rs. 895,https://www.routledge.com/Computer-Aided-Power-Systems-Analysis/Kusic/p/book/9781420061062,
,"COMPUTER AND CYBER SECURITY : PRINCIPLES, ALGORITHM, APPLICATIONS, AND PERSPECTIVES",Brij B. Gupta,CSE,2019,1ST,9780815371335,T&F/CRC PRESS,1,BP 150,,https://www.routledge.com/Computer-and-Cyber-Security-Principles-Algorithm-Applications-and-Perspectives/Gupta/p/book/9780815371335,
,COMPUTER ARCHITECTURE FUNDAMENTALS AND PRINCIPLES OF COMPUTER DESIGN,DUMAS JOSEPH D,CSE,2018,,9781138570979,CRC PRES,1,,Rs. 895,https://www.bspublications.net/book_detail.php?bid=1270,
,"COMPUTER GRAPHICS THROUGH OPENGL® : FROM THEORY TO EXPERIMENTS, 3RD EDITION","Sumanta Guha, Sumanta Guha	",CSE,2019,3RD,9781138612648,T&F/CRC PRESS,1,BP 120,,https://www.routledge.com/Computer-Graphics-Through-OpenGL-From-Theory-to-Experiments/Guha/p/book/9781138612648,
