id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,Understanding Intercultural Communication: Negotiating a Grammar of Culture,HOLLIDAY,HSS,2021,2,9780815352396,Routledge,4,36.99,3850.659,http://www.routledge.com/9780815352396,
,Understanding Leadership: An Arts and Humanities Perspective,MCMANUS,HSS,2021,2,9780367151812,Routledge,4,34.99,3642.459,http://www.routledge.com/9780367151812,
,Understanding Media Production: ,DWYER,HSS,2021,1,9781138238145,Routledge,4,34.99,3642.459,http://www.routledge.com/9781138238145,
,Understanding Perspectivism: Scientific Challenges and Methodological Prospects,Massimi Michela ,HSS,2021,1,9781138503069,Routledge,4,120,12492,http://www.routledge.com/9781138503069,
,Understanding Post-Tonal Music: ,ROIG-FRANCOLI,HSS,2021,1,9780367432874,Routledge,4,59.99,6244.959,http://www.routledge.com/9780367432874,
,Understanding Public Health: Productive Processing of Internal and External Reality,HURRELMANN,HSS,2021,1,9780367360764,Routledge,4,34.99,3642.459,http://www.routledge.com/9780367360764,
,Understanding Syntax: ,TALLERMAN,HSS,2021,5,9780367198404,Routledge,4,39.99,4162.959,http://www.routledge.com/9780367198404,
,Understanding the Business of Global Media in the Digital Age: ,LEE,HSS,2021,1,9781138688988,Routledge,4,42.99,4475.259,http://www.routledge.com/9781138688988,
,Understanding the Business of Media Entertainment: The Legal and Business Essentials All Filmmakers Should Know,BERNSTEIN,HSS,2021,2,9780367074531,Routledge,4,38.99,4058.859,http://www.routledge.com/9780367074531,
,Understanding Video Games: The Essential Introduction,EGENFELDT-NIELSEN,HSS,2021,4,9781138363052,Routledge,4,44.99,4683.459,http://www.routledge.com/9781138363052,
,Undoing the Digital: Sociomaterialism and Literacy Education,BURNETT,HSS,2021,1,9781138326545,Routledge,4,34.99,3642.459,http://www.routledge.com/9781138326545,
,United Artists: ,Krämer Peter ,HSS,2021,1,9780367179007,Routledge,4,34.99,3642.459,http://www.routledge.com/9780367179007,
,University and College Women’s and Gender Equity Centers: The Changing Landscape,Bethman Brenda ,HSS,2021,1,9780367492410,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367492410,
,Unnatural Narrative across Borders: Transnational and Comparative Perspectives,SHANG,HSS,2021,1,9781138311305,Routledge,4,130,13533,http://www.routledge.com/9781138311305,
,"Unplugging Popular Culture: Reconsidering Analog Technology, Materiality, and the “Digital Native""",HOWARD,HSS,2021,1,9780367663711,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367663711,
,Unravelling Liberal Interventionism: Local Critiques of Statebuilding in Kosovo,Visoka Gëzim  ,HSS,2021,1,9781138579910,Routledge,4,120,12492,http://www.routledge.com/9781138579910,
,Unspeakable: Literature and Terrorism from the Gunpowder Plot to 9/11,HERMAN,HSS,2021,1,9780367249007,Routledge,4,38.99,4058.859,http://www.routledge.com/9780367249007,
,Untranslatability: Interdisciplinary Perspectives,Large Duncan ,HSS,2021,1,9780367587192,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367587192,
,Upgrade Your French: ,JUBB,HSS,2021,3,9781138500129,Routledge,4,32.99,3434.259,http://www.routledge.com/9781138500129,
,Urban Biodiversity: From Research to Practice,Ossola Alessandro ,HSS,2021,1,9781138224391,Routledge,4,42.99,4475.259,http://www.routledge.com/9781138224391,
,Urban Captivity Narratives: Women’s Writing After 9/11,HILLSBURG,HSS,2021,1,9780367271718,Routledge,4,120,12492,http://www.routledge.com/9780367271718,
,Urban Comics: Infrastructure and the Global City in Contemporary Graphic Narratives,DAVIES,HSS,2021,1,9780367660635,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367660635,
,Urbanization with Chinese Characteristics: The Hukou System and Migration: ,CHAN,HSS,2021,1,9780367264826,Routledge,4,38.99,4058.859,http://www.routledge.com/9780367264826,
,"Urbanization, Regional Development and Governance in China: ",SHEN,HSS,2021,1,9781138309043,Routledge,4,120,12492,http://www.routledge.com/9781138309043,
,Using CAT Tools in Freelance Translation: Insights from a Case Study,PIETRZAK,HSS,2021,1,9780367646752,Routledge,4,44.99,4683.459,http://www.routledge.com/9780367646752,
,Using Computers in the Translation of Literary Style: Challenges and Opportunities,YOUDALE,HSS,2021,1,9780367141233,Routledge,4,120,12492,http://www.routledge.com/9780367141233,
,Using Corpus Methods to Triangulate Linguistic Analysis: ,Egbert Jesse ,HSS,2021,1,9781138082540,Routledge,4,120,12492,http://www.routledge.com/9781138082540,
,Using Critical Theory: How to Read and Write About Literature,TYSON,HSS,2021,3,9781138586475,Routledge,4,32.99,3434.259,http://www.routledge.com/9781138586475,
,Using Judgments in Second Language Acquisition Research: ,SPINNER,HSS,2021,1,9781138207035,Routledge,4,38.99,4058.859,http://www.routledge.com/9781138207035,
,"Using Key Passages to Understand Literature, Theory and Criticism: ",LAGA,HSS,2021,1,9781138561977,Routledge,4,32.99,3434.259,http://www.routledge.com/9781138561977,
