id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,"Systems, Automation, And Control","Derbel, Nabil / Derbel, Faouzi / Kanoun, Olfa",ECE,2019,,9783110590241,De Gruyter,8,102.95,9481.695,http://www.degruyter.com/isbn/9783110591729,
,"Sensors, Circuits And Instrumentation Systems","Kanoun, Olfa / Derbel, Nabil / Derbel, Faouzi",ECE,2019,,9783110590258,De Gruyter,8,102.95,9481.695,http://www.degruyter.com/isbn/9783110592566,
,Digital Processing Of Random Oscillations,"Karmalita, Viacheslav",ECE,2019,,9783110625004,De Gruyter,8,92.95,8560.695,http://www.degruyter.com/isbn/9783110627978,
,Digital Electronic Circuits,"Lou, Shuqin / Yang, Chunling",ECE,2019,,9783110614664,De Gruyter,8,55.95,5152.995,http://www.degruyter.com/isbn/9783110614916,
,Protecting Electrical Equipment,"Gurevich, Vladimir",ECE,2019,,9783110635966,De Gruyter,8,160.95,14823.495,http://www.degruyter.com/isbn/9783110639285,
,"Compliant Systems Mechanics Of Elastically Deformable Mechanisms, Actuators And Sensors","Zentner, Lena / Linß, Sebastian",ECE,2019,,9783110477313,De Gruyter Oldenbourg,8,123.95,11415.795,http://www.degruyter.com/isbn/9783110479744,
,Being A Biomedical Entrepreneur - Growth Of The Biomedical Industry,Lee Jen-Shih,ECE,2018,,9789813270428,World Scientific Publishing Co. Pte. Ltd.,8,88,6890.4,https://www.worldscientific.com/worldscibooks/10.1142/10991,
,"Encyclopedia Of Medical Robotics, The (In 4 Volumes)",Desai Jaydev P,ECE,2018,,9789813232228,World Scientific Publishing Co. Pte. Ltd.,8,990,77517,https://www.worldscientific.com/worldscibooks/10.1142/10770,
,Shu Chien: An Autobiography And Tributes At His 80Th Birthday And Beyond,Li Yi-Shuan Julie Et Al,ECE,2018,,9789813233454,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/10802,
,Handbook Of Polymer Tribology,Sinha Sujeet Kumar,ECE,2018,,9789813227781,World Scientific Publishing Co. Pte. Ltd.,8,298,23333.4,https://www.worldscientific.com/worldscibooks/10.1142/10647,
,Digital Signal Processing For High-Speed Optical Communication,Yu Jianjun Et Al,ECE,2018,,9789813233973,World Scientific Publishing Co. Pte. Ltd.,8,78,6107.4,https://www.worldscientific.com/worldscibooks/10.1142/10818,
,Digital Electronic Circuits - The Comprehensive View,Axelevitch Alexander,ECE,2018,,9789813270725,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/10998,
,"Encyclopedia Of Thermal Packaging, Set 3: Thermal Packaging Applications (A 3-Volume Set)",Bar-Cohen Avram,ECE,2018,,9789813239661,World Scientific Publishing Co. Pte. Ltd.,8,990,77517,https://www.worldscientific.com/worldscibooks/10.1142/10975,
,High Performance Materials And Devices For High-Speed Electronic Systems,Jain F Et Al,ECE,2018,,9789813276291,World Scientific Publishing Co. Pte. Ltd.,8,68,5324.4,https://www.worldscientific.com/worldscibooks/10.1142/11156,
,Bayesian Networks In Fault Diagnosis: Practice And Application,Cai Baoping Et Al,ECE,2018,,9789813271487,World Scientific Publishing Co. Pte. Ltd.,8,138,10805.4,https://www.worldscientific.com/worldscibooks/10.1142/11021,
,Introduction To Workplace Safety And Health Management: A Systems Thinking Approach,Goh Yang Miang,ECE,2018,,9789813274112,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/11094,
,Hysteresis And Neural Memory,Mayergoyz Isaak Et Al,ECE,2019,,9789811209505,World Scientific Publishing Co. Pte. Ltd.,8,128,10022.4,https://www.worldscientific.com/worldscibooks/10.1142/11532,
